score	annot	celltype
chr1-6785044-6785544	1	Conserved	B-lymphocytes
chr1-23525087-23525587	1	Conserved	B-lymphocytes
chr1-23619507-23620007	1	Conserved	B-lymphocytes
chr1-25430572-25431572	1	Conserved	B-lymphocytes
chr1-26336268-26336768	1	Conserved	B-lymphocytes
chr1-26743961-26744461	1	Conserved	B-lymphocytes
chr1-26833474-26833974	1	Conserved	B-lymphocytes
chr1-26838772-26839272	1	Conserved	B-lymphocytes
chr1-27872260-27872760	1	Conserved	B-lymphocytes
chr1-27873567-27874067	1	Conserved	B-lymphocytes
chr1-31938218-31938718	1	Conserved	B-lymphocytes
chr1-32249887-32250387	1	Conserved	B-lymphocytes
chr1-36224030-36224530	1	Conserved	B-lymphocytes
chr1-37474246-37474746	1	Conserved	B-lymphocytes
chr1-37477259-37477759	1	Conserved	B-lymphocytes
chr1-40385553-40386053	1	Conserved	B-lymphocytes
chr1-42935158-42935658	1	Conserved	B-lymphocytes
chr1-45491031-45491531	1	Conserved	B-lymphocytes
chr1-52552064-52553064	1	Conserved	B-lymphocytes
chr1-52553256-52553756	1	Conserved	B-lymphocytes
chr1-53945661-53946161	1	Conserved	B-lymphocytes
chr1-66335976-66336476	1	Conserved	B-lymphocytes
chr1-85276436-85276936	1	Conserved	B-lymphocytes
chr1-86914269-86914769	1	Conserved	B-lymphocytes
chr1-89632773-89633273	1	Conserved	B-lymphocytes
chr1-89633277-89633777	1	Conserved	B-lymphocytes
chr1-89820684-89821184	1	Conserved	B-lymphocytes
chr1-89821602-89822102	1	Conserved	B-lymphocytes
chr1-92483500-92484000	1	Conserved	B-lymphocytes
chr1-92484466-92484966	1	Conserved	B-lymphocytes
chr1-92485206-92485706	1	Conserved	B-lymphocytes
chr1-92485711-92486211	1	Conserved	B-lymphocytes
chr1-92960281-92960781	1	Conserved	B-lymphocytes
chr1-92961291-92961791	1	Conserved	B-lymphocytes
chr1-92962178-92962678	1	Conserved	B-lymphocytes
chr1-93180280-93180780	1	Conserved	B-lymphocytes
chr1-108692025-108692525	1	Conserved	B-lymphocytes
chr1-110672585-110673085	1	Conserved	B-lymphocytes
chr1-110872846-110873346	1	Conserved	B-lymphocytes
chr1-110875301-110875801	1	Conserved	B-lymphocytes
chr1-111203772-111204272	1	Conserved	B-lymphocytes
chr1-111204287-111204787	1	Conserved	B-lymphocytes
chr1-113812180-113812680	1	Conserved	B-lymphocytes
chr1-113871503-113872003	1	Conserved	B-lymphocytes
chr1-149886538-149887038	1	Conserved	B-lymphocytes
chr1-150234461-150234961	1	Conserved	B-lymphocytes
chr1-150562688-150563188	1	Conserved	B-lymphocytes
chr1-150611890-150612390	1	Conserved	B-lymphocytes
chr1-152047952-152048452	1	Conserved	B-lymphocytes
